Date,Comid,Low,High,Average,Waverage,Close,Tradeno,Volume,Turnover,Issue,Company
01/01/2015,12187,7.2,7.3,7.24,7.28,7.3,33,166971,1214828.3,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
05/01/2015,12187,7.1,7.2,7.15,7.16,7.2,6,9500,68050,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
06/01/2015,12187,7,7.2,7.14,7.18,7.2,22,97900,702490,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
07/01/2015,12187,7,7.2,7.08,7.07,7.1,31,94280,666690,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
08/01/2015,12187,7,7.2,7.11,7.16,7.2,27,68040,487035,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
11/01/2015,12187,7,7.2,7.08,7.06,7,61,164220,1159575,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
12/01/2015,12187,6.9,7.1,6.99,7,7,38,143150,1001455,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
13/01/2015,12187,7,7.1,7.06,7.04,7,20,86110,606471,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
14/01/2015,12187,6.9,7.1,7,7,7,64,238000,1667056.7,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
15/01/2015,12187,6.8,7,6.9,6.89,6.9,56,221300,1524165,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
18/01/2015,12187,6.8,6.9,6.84,6.84,6.8,34,60024,410493.7,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
19/01/2015,12187,6.8,6.9,6.89,6.89,6.9,25,73715,508177,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
20/01/2015,12187,6.8,7,6.87,6.88,6.9,17,32450,223310,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
21/01/2015,12187,6.7,7,6.81,6.8,6.8,39,89037,605111.1,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
22/01/2015,12187,6.7,6.9,6.8,6.81,6.8,24,47550,323580,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
25/01/2015,12187,6.6,6.9,6.73,6.76,6.7,34,95100,642630,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
26/01/2015,12187,6.7,6.8,6.74,6.77,6.8,8,17400,117780,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
27/01/2015,12187,6.6,6.8,6.73,6.72,6.7,21,30820,207189,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
28/01/2015,12187,6.8,6.8,6.8,6.8,6.8,10,20000,136000,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
29/01/2015,12187,6.5,6.7,6.64,6.61,6.6,33,107750,712110,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
01/02/2015,12187,6.5,6.6,6.58,6.59,6.6,13,26100,172070,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
02/02/2015,12187,6.5,6.6,6.59,6.6,6.6,28,61600,406380,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
03/02/2015,12187,6.5,6.6,6.53,6.52,6.5,35,110330,719527,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
04/02/2015,12187,6.5,6.6,6.56,6.54,6.5,25,78881,516126.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
05/02/2015,12187,6.5,6.6,6.54,6.53,6.5,44,120525,786460,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
08/02/2015,12187,6.5,6.7,6.53,6.52,6.5,46,246965,1611272.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
09/02/2015,12187,6.5,6.6,6.54,6.54,6.6,32,148220,968732,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
10/02/2015,12187,6.5,6.8,6.7,6.72,6.8,66,422320,2839821,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
11/02/2015,12187,6.7,7,6.84,6.86,6.9,37,189025,1297022,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
12/02/2015,12187,6.9,7,6.92,6.95,7,18,133000,924750,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
15/02/2015,12187,6.8,7.2,7.03,7.02,7.1,60,375995,2639440,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
16/02/2015,12187,6.8,7.3,7.11,7.11,7.2,74,481800,3427490,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
17/02/2015,12187,7.2,7.6,7.36,7.41,7.4,49,465020,3446678,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
18/02/2015,12187,7.2,7.3,7.24,7.22,7.2,10,69740,503228,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
19/02/2015,12187,7,7.4,7.18,7.14,7.2,31,139633,997010.9,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
22/02/2015,12187,7,7.3,7.1,7.11,7.1,20,65310,464120,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
23/02/2015,12187,7.1,7.3,7.2,7.2,7.2,14,44000,316600,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
24/02/2015,12187,7,7.2,7.08,7.11,7.1,24,84130,598040,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
25/02/2015,12187,6.9,7.1,7.01,7.01,7.1,35,121100,848470,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
26/02/2015,12187,7,7.2,7.08,7.09,7.1,30,164700,1167699,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
01/03/2015,12187,6.9,7.1,6.98,7.03,7.1,31,224042,1575054,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
02/03/2015,12187,6.9,7,6.93,6.93,6.9,38,292300,2024890,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
03/03/2015,12187,6.9,7,6.96,6.97,7,28,214000,1490600,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
04/03/2015,12187,6.8,7,6.87,6.88,6.9,27,174100,1198340,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
05/03/2015,12187,6.8,7,6.86,6.86,6.9,21,141094,968279.2,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
08/03/2015,12187,6.7,6.9,6.82,6.83,6.8,22,129300,882610,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
09/03/2015,12187,6.9,7,6.98,6.99,7,21,45000,314500,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
10/03/2015,12187,7,7,7,7,7,21,84550,591850,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
11/03/2015,12187,6.9,7,6.95,6.94,6.9,14,134240,931355,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
12/03/2015,12187,6.5,6.9,6.77,6.79,6.8,29,233430,1584938,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
15/03/2015,12187,6.6,6.8,6.71,6.72,6.7,14,108700,730530,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
16/03/2015,12187,6.6,6.8,6.62,6.6,6.6,17,43380,286428,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
18/03/2015,12187,6.4,6.7,6.5,6.47,6.5,23,69550,450265,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
19/03/2015,12187,6.4,6.6,6.49,6.47,6.5,8,21015,136062,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
22/03/2015,12187,6.4,6.5,6.47,6.46,6.5,19,80700,521609.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
23/03/2015,12187,6.3,6.5,6.37,6.36,6.3,25,86400,549532,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
24/03/2015,12187,6.2,6.4,6.27,6.29,6.3,26,267550,1681715,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
25/03/2015,12187,6.3,6.3,6.3,6.3,6.3,7,19650,123795,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
29/03/2015,12187,6.2,6.4,6.3,6.31,6.3,25,34500,217600,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
30/03/2015,12187,6.3,6.4,6.34,6.32,6.3,14,48500,306650,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
31/03/2015,12187,6.3,6.4,6.31,6.3,6.3,17,51300,323200,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
01/04/2015,12187,6.2,6.3,6.27,6.28,6.3,18,39700,249490,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
02/04/2015,12187,6.2,6.3,6.28,6.3,6.3,8,21000,132200,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
05/04/2015,12187,6.2,6.4,6.29,6.28,6.3,8,12000,75300,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
06/04/2015,12187,6.2,6.3,6.27,6.28,6.3,29,82330,516779,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
07/04/2015,12187,6.1,6.2,6.16,6.17,6.2,39,157500,971000,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
08/04/2015,12187,6.2,6.2,6.2,6.2,6.2,10,25310,156922,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
09/04/2015,12187,5.6,6.2,5.98,6.03,5.9,36,171920,1036947,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
12/04/2015,12187,5.7,5.9,5.78,5.78,5.8,13,16000,92412,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
13/04/2015,12187,5.7,5.9,5.78,5.75,5.8,18,35532,204482.4,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
15/04/2015,12187,5.7,6,5.83,5.81,5.8,35,137090,796293,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
16/04/2015,12187,5.8,6.1,5.9,5.9,5.9,21,71260,420308,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
19/04/2015,12187,6,6.2,6.17,6.19,6.2,21,127800,791650,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
20/04/2015,12187,6,6.1,6.08,6.08,6.1,12,23000,139800,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
21/04/2015,12187,5.8,6,5.83,5.85,5.8,70,290850,1701850,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
22/04/2015,12187,5.3,5.8,5.68,5.64,5.6,18,50400,284029,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
23/04/2015,12187,5.6,5.8,5.65,5.66,5.7,11,45590,258120,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
26/04/2015,12187,5.5,5.8,5.73,5.72,5.7,27,141352,808006.4,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
27/04/2015,12187,5.8,5.8,5.8,5.8,5.8,2,20000,116000,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
29/04/2015,12187,5.7,5.8,5.76,5.77,5.8,20,47215,272325.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
30/04/2015,12187,5.3,5.9,5.47,5.4,5.3,30,92420,498952,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
04/05/2015,12187,5.3,5.7,5.49,5.52,5.4,29,78190,431947,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
05/05/2015,12187,5.7,5.8,5.71,5.7,5.7,8,20000,114068,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
06/05/2015,12187,5.3,5.8,5.68,5.79,5.8,5,6550,37915,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
07/05/2015,12187,5.5,5.8,5.61,5.66,5.7,11,21200,119960,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
10/05/2015,12187,5.9,6.2,6.04,6.09,6.2,70,180460,1098370,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
11/05/2015,12187,6.2,6.8,6.64,6.66,6.7,41,171175,1140232.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
12/05/2015,12187,6.7,7.3,6.92,6.93,6.9,91,276534,1917502.6,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
13/05/2015,12187,6.4,6.7,6.49,6.44,6.4,16,57052,367438.4,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
14/05/2015,12187,6.4,6.6,6.51,6.57,6.6,14,149420,981422,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
17/05/2015,12187,6.2,6.5,6.33,6.29,6.3,42,97403,612339.7,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
18/05/2015,12187,6.4,6.7,6.58,6.54,6.6,23,64300,420470,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
19/05/2015,12187,6.5,6.7,6.57,6.56,6.6,30,87082,571238,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
20/05/2015,12187,6.6,6.8,6.68,6.7,6.7,20,45425,304247.5,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
21/05/2015,12187,6.9,7.2,7.08,7.06,7.1,71,411355,2905685,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
24/05/2015,12187,7.3,7.5,7.44,7.41,7.4,17,50900,377060,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
25/05/2015,12187,7.2,7.5,7.36,7.41,7.5,51,509482,3774825.6,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
26/05/2015,12187,7.3,7.4,7.36,7.35,7.4,29,132530,974619,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
27/05/2015,12187,7.1,7.4,7.26,7.28,7.3,35,77000,560326,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
28/05/2015,12187,7,7.5,7.23,7.25,7.2,29,145260,1053211,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
31/05/2015,12187,6.9,7.3,7.14,7.05,7.1,7,12840,90555,60500000,"""Reliance One"" the first scheme of Reliance Insurance Mutual Fund"
01/01/2015,22647,36.5,38,37.25,37.32,37.6,433,560965,20936205.7,55369395,aamra technologies limited
05/01/2015,22647,36.6,37.5,36.96,36.94,36.8,192,147076,5433607.9,55369395,aamra technologies limited
06/01/2015,22647,36.2,38,37.62,37.67,37.5,418,610090,22980831.6,55369395,aamra technologies limited
07/01/2015,22647,37,38.1,37.54,37.53,37.1,375,453852,17031339.2,55369395,aamra technologies limited
08/01/2015,22647,37.3,38.4,37.83,37.82,38.1,583,816713,30885660.4,55369395,aamra technologies limited
11/01/2015,22647,38.4,39.5,38.91,38.9,38.8,924,1262545,49118327.8,55369395,aamra technologies limited
12/01/2015,22647,39,40.4,39.69,39.7,39.8,1313,2256441,89588328.6,55369395,aamra technologies limited
13/01/2015,22647,38.8,40.1,39.51,39.52,39.2,766,1345027,53151870.3,55369395,aamra technologies limited
14/01/2015,22647,37.7,39.5,38.58,38.59,38,805,1159279,44739960.1,55369395,aamra technologies limited
15/01/2015,22647,38.1,39.5,38.82,38.86,38.6,667,1012239,39336507.3,55369395,aamra technologies limited
18/01/2015,22647,37.8,38.8,38.08,38.05,37.9,463,815783,31042624.3,55369395,aamra technologies limited
19/01/2015,22647,37,38.2,37.58,37.59,37.5,316,423139,15905284.9,55369395,aamra technologies limited
